zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
55001,44.90138,-92.81969,Afton,MN,Minnesota,TRUE,,2956,42.2,27163,Washington,"{""27163"": 100}",Washington,27163,FALSE,FALSE,America/Chicago
55003,45.01183,-92.77883,Bayport,MN,Minnesota,TRUE,,3948,733.8,27163,Washington,"{""27163"": 100}",Washington,27163,FALSE,FALSE,America/Chicago
55005,45.39281,-93.21725,Bethel,MN,Minnesota,TRUE,,4756,96.9,27003,Anoka,"{""27003"": 100}",Anoka,27003,FALSE,FALSE,America/Chicago
55006,45.74002,-93.20504,Braham,MN,Minnesota,TRUE,,3655,18.5,27065,Kanabec,"{""27065"": 38.18, ""27059"": 34.51, ""27115"": 19.61, ""27025"": 7.71}",Kanabec|Isanti|Pine|Chisago,27065|27059|27115|27025,FALSE,FALSE,America/Chicago
55007,45.97511,-93.12223,Brook Park,MN,Minnesota,TRUE,,2158,7,27065,Kanabec,"{""27065"": 61.85, ""27115"": 38.15}",Kanabec|Pine,27065|27115,FALSE,FALSE,America/Chicago
55008,45.57149,-93.26734,Cambridge,MN,Minnesota,TRUE,,16091,61.9,27059,Isanti,"{""27059"": 99.31, ""27025"": 0.69}",Isanti|Chisago,27059|27025,FALSE,FALSE,America/Chicago
55009,44.48378,-92.86686,Cannon Falls,MN,Minnesota,TRUE,,8258,26,27049,Goodhue,"{""27049"": 81.65, ""27037"": 18.35}",Goodhue|Dakota,27049|27037,FALSE,FALSE,America/Chicago
55011,45.34108,-93.2521,Cedar,MN,Minnesota,TRUE,,11025,92.8,27003,Anoka,"{""27003"": 100}",Anoka,27003,FALSE,FALSE,America/Chicago
55012,45.44166,-92.78952,Center City,MN,Minnesota,TRUE,,1995,32.5,27025,Chisago,"{""27025"": 100}",Chisago,27025,FALSE,FALSE,America/Chicago
55013,45.35558,-92.89469,Chisago City,MN,Minnesota,TRUE,,7030,98.2,27025,Chisago,"{""27025"": 100}",Chisago,27025,FALSE,FALSE,America/Chicago
55014,45.16802,-93.12431,Circle Pines,MN,Minnesota,TRUE,,28975,552,27003,Anoka,"{""27003"": 100}",Anoka,27003,FALSE,FALSE,America/Chicago
55016,44.8172,-92.93373,Cottage Grove,MN,Minnesota,TRUE,,39925,512.1,27163,Washington,"{""27163"": 100}",Washington,27163,FALSE,FALSE,America/Chicago
55017,45.67291,-93.4314,Dalbo,MN,Minnesota,TRUE,,971,14.5,27059,Isanti,"{""27059"": 100}",Isanti,27059,FALSE,FALSE,America/Chicago
55018,44.41832,-92.98822,Dennison,MN,Minnesota,TRUE,,931,8.1,27049,Goodhue,"{""27049"": 91.18, ""27131"": 8.82}",Goodhue|Rice,27049|27131,FALSE,FALSE,America/Chicago
55019,44.41318,-93.25016,Dundas,MN,Minnesota,TRUE,,2336,44.1,27131,Rice,"{""27131"": 100}",Rice,27131,FALSE,FALSE,America/Chicago
55020,44.57707,-93.37387,Elko New Market,MN,Minnesota,TRUE,,4391,71.2,27139,Scott,"{""27139"": 100}",Scott,27139,FALSE,FALSE,America/Chicago
55021,44.2973,-93.27414,Faribault,MN,Minnesota,TRUE,,30860,67.3,27131,Rice,"{""27131"": 100}",Rice,27131,FALSE,FALSE,America/Chicago
55024,44.62738,-93.13605,Farmington,MN,Minnesota,TRUE,,36681,166.5,27037,Dakota,"{""27037"": 100}",Dakota,27037,FALSE,FALSE,America/Chicago
55025,45.26391,-93.0212,Forest Lake,MN,Minnesota,TRUE,,25759,129.1,27003,Anoka,"{""27003"": 52.25, ""27163"": 40.78, ""27025"": 6.97}",Anoka|Washington|Chisago,27003|27163|27025,FALSE,FALSE,America/Chicago
55026,44.52179,-92.3369,Frontenac,MN,Minnesota,TRUE,,451,48.6,27049,Goodhue,"{""27049"": 100}",Goodhue,27049,FALSE,FALSE,America/Chicago
55027,44.40868,-92.62058,Goodhue,MN,Minnesota,TRUE,,2948,9.7,27049,Goodhue,"{""27049"": 99.19, ""27157"": 0.81}",Goodhue|Wabasha,27049|27157,FALSE,FALSE,America/Chicago
55029,45.63573,-93.20098,Grandy,MN,Minnesota,TRUE,,27,40.7,27059,Isanti,"{""27059"": 100}",Isanti,27059,FALSE,FALSE,America/Chicago
55030,45.83911,-93.11493,Grasston,MN,Minnesota,TRUE,,1425,14,27115,Pine,"{""27115"": 79.91, ""27065"": 20.09}",Pine|Kanabec,27115|27065,FALSE,FALSE,America/Chicago
55031,44.60772,-92.96647,Hampton,MN,Minnesota,TRUE,,1682,16,27037,Dakota,"{""27037"": 100}",Dakota,27037,FALSE,FALSE,America/Chicago
55032,45.58851,-92.99279,Harris,MN,Minnesota,TRUE,,3353,19.1,27025,Chisago,"{""27025"": 100}",Chisago,27025,FALSE,FALSE,America/Chicago
55033,44.71139,-92.8585,Hastings,MN,Minnesota,TRUE,,29241,78.3,27037,Dakota,"{""27037"": 75.39, ""27163"": 21.46, ""27049"": 3.15}",Dakota|Washington|Goodhue,27037|27163|27049,FALSE,FALSE,America/Chicago
55036,45.87114,-93.11999,Henriette,MN,Minnesota,TRUE,,34,46.8,27115,Pine,"{""27115"": 100}",Pine,27115,FALSE,FALSE,America/Chicago
55037,46.01071,-92.78934,Hinckley,MN,Minnesota,TRUE,,5077,6.4,27115,Pine,"{""27115"": 92.98, ""27065"": 7.02}",Pine|Kanabec,27115|27065,FALSE,FALSE,America/Chicago
55038,45.169,-92.98059,Hugo,MN,Minnesota,TRUE,,24246,185.4,27163,Washington,"{""27163"": 68.95, ""27003"": 30.73, ""27123"": 0.32}",Washington|Anoka|Ramsey,27163|27003|27123,FALSE,FALSE,America/Chicago
55040,45.4678,-93.27951,Isanti,MN,Minnesota,TRUE,,14451,56.9,27059,Isanti,"{""27059"": 100}",Isanti,27059,FALSE,FALSE,America/Chicago
55041,44.39544,-92.31923,Lake City,MN,Minnesota,TRUE,,7532,20.2,27157,Wabasha,"{""27157"": 83.45, ""27049"": 16.55}",Wabasha|Goodhue,27157|27049,FALSE,FALSE,America/Chicago
55042,44.99253,-92.898,Lake Elmo,MN,Minnesota,TRUE,,13156,204.2,27163,Washington,"{""27163"": 100}",Washington,27163,FALSE,FALSE,America/Chicago
55043,44.94064,-92.76902,Lakeland,MN,Minnesota,TRUE,,3471,356.1,27163,Washington,"{""27163"": 100}",Washington,27163,FALSE,FALSE,America/Chicago
55044,44.64156,-93.27858,Lakeville,MN,Minnesota,TRUE,,63280,374.3,27037,Dakota,"{""27037"": 70.38, ""27139"": 29.62}",Dakota|Scott,27037|27139,FALSE,FALSE,America/Chicago
55045,45.39777,-92.83074,Lindstrom,MN,Minnesota,TRUE,,7854,87.1,27025,Chisago,"{""27025"": 100}",Chisago,27025,FALSE,FALSE,America/Chicago
55046,44.44629,-93.4162,Lonsdale,MN,Minnesota,TRUE,,6030,52.2,27131,Rice,"{""27131"": 100}",Rice,27131,FALSE,FALSE,America/Chicago
55047,45.20553,-92.82137,Marine On Saint Croix,MN,Minnesota,TRUE,,2230,29.4,27163,Washington,"{""27163"": 100}",Washington,27163,FALSE,FALSE,America/Chicago
55049,44.17628,-93.24101,Medford,MN,Minnesota,TRUE,,2634,22,27147,Steele,"{""27147"": 90.85, ""27131"": 9.15}",Steele|Rice,27147|27131,FALSE,FALSE,America/Chicago
55051,45.93818,-93.33201,Mora,MN,Minnesota,TRUE,,9927,17.6,27065,Kanabec,"{""27065"": 86.48, ""27095"": 13.52}",Kanabec|Mille Lacs,27065|27095,FALSE,FALSE,America/Chicago
55052,44.23369,-93.4398,Morristown,MN,Minnesota,TRUE,,1894,16.3,27131,Rice,"{""27131"": 84.91, ""27161"": 9.59, ""27147"": 5.5}",Rice|Waseca|Steele,27131|27161|27147,FALSE,FALSE,America/Chicago
55053,44.34957,-93.06579,Nerstrand,MN,Minnesota,TRUE,,995,7.8,27131,Rice,"{""27131"": 68.7, ""27049"": 31.3}",Rice|Goodhue,27131|27049,FALSE,FALSE,America/Chicago
55054,44.57148,-93.35087,Elko New Market,MN,Minnesota,TRUE,,2582,973.7,27139,Scott,"{""27139"": 100}",Scott,27139,FALSE,FALSE,America/Chicago
55055,44.87437,-92.99746,Newport,MN,Minnesota,TRUE,,4460,475.3,27163,Washington,"{""27163"": 100}",Washington,27163,FALSE,FALSE,America/Chicago
55056,45.50915,-92.9543,North Branch,MN,Minnesota,TRUE,,14279,55.4,27025,Chisago,"{""27025"": 69.39, ""27059"": 30.61}",Chisago|Isanti,27025|27059,FALSE,FALSE,America/Chicago
55057,44.47281,-93.17939,Northfield,MN,Minnesota,TRUE,,25458,78.8,27131,Rice,"{""27131"": 53.89, ""27037"": 45.88, ""27049"": 0.23}",Rice|Dakota|Goodhue,27131|27037|27049,FALSE,FALSE,America/Chicago
55060,44.05966,-93.22639,Owatonna,MN,Minnesota,TRUE,,29601,56.2,27147,Steele,"{""27147"": 100}",Steele,27147,FALSE,FALSE,America/Chicago
55063,45.83263,-92.90584,Pine City,MN,Minnesota,TRUE,,9270,22.5,27115,Pine,"{""27115"": 100}",Pine,27115,FALSE,FALSE,America/Chicago
55065,44.54662,-93.01835,Randolph,MN,Minnesota,TRUE,,1320,15.6,27037,Dakota,"{""27037"": 98.36, ""27049"": 1.64}",Dakota|Goodhue,27037|27049,FALSE,FALSE,America/Chicago
55066,44.51581,-92.5441,Red Wing,MN,Minnesota,TRUE,,19125,61.1,27049,Goodhue,"{""27049"": 100}",Goodhue,27049,FALSE,FALSE,America/Chicago
55068,44.73555,-93.06876,Rosemount,MN,Minnesota,TRUE,,32194,270.4,27037,Dakota,"{""27037"": 100}",Dakota,27037,FALSE,FALSE,America/Chicago
55069,45.6928,-92.96768,Rush City,MN,Minnesota,TRUE,,5936,31,27025,Chisago,"{""27025"": 83.14, ""27115"": 16.86}",Chisago|Pine,27025|27115,FALSE,FALSE,America/Chicago
55070,45.41413,-93.3849,Saint Francis,MN,Minnesota,TRUE,,8403,127.3,27003,Anoka,"{""27003"": 63.78, ""27059"": 36.22}",Anoka|Isanti,27003|27059,FALSE,FALSE,America/Chicago
55071,44.82257,-92.99677,Saint Paul Park,MN,Minnesota,TRUE,,5807,448.6,27163,Washington,"{""27163"": 100}",Washington,27163,FALSE,FALSE,America/Chicago
55072,46.15118,-92.59274,Sandstone,MN,Minnesota,TRUE,,4409,4.8,27115,Pine,"{""27115"": 94.04, ""27065"": 5.96}",Pine|Kanabec,27115|27065,FALSE,FALSE,America/Chicago
55073,45.27363,-92.82783,Scandia,MN,Minnesota,TRUE,,4145,57.1,27163,Washington,"{""27163"": 86.47, ""27025"": 13.53}",Washington|Chisago,27163|27025,FALSE,FALSE,America/Chicago
55074,45.38351,-92.73292,Shafer,MN,Minnesota,TRUE,,2260,25.4,27025,Chisago,"{""27025"": 100}",Chisago,27025,FALSE,FALSE,America/Chicago
55075,44.88794,-93.0411,South Saint Paul,MN,Minnesota,TRUE,,20651,1426.4,27037,Dakota,"{""27037"": 100}",Dakota,27037,FALSE,FALSE,America/Chicago
55076,44.83318,-93.0334,Inver Grove Heights,MN,Minnesota,TRUE,,21258,827.3,27037,Dakota,"{""27037"": 100}",Dakota,27037,FALSE,FALSE,America/Chicago
55077,44.81989,-93.07574,Inver Grove Heights,MN,Minnesota,TRUE,,14585,310.2,27037,Dakota,"{""27037"": 100}",Dakota,27037,FALSE,FALSE,America/Chicago
55079,45.41385,-93.03117,Stacy,MN,Minnesota,TRUE,,8840,53.6,27025,Chisago,"{""27025"": 42.59, ""27059"": 30.71, ""27003"": 26.7}",Chisago|Isanti|Anoka,27025|27059|27003,FALSE,FALSE,America/Chicago
55080,45.66322,-93.21881,Stanchfield,MN,Minnesota,TRUE,,3281,18.5,27059,Isanti,"{""27059"": 75.36, ""27025"": 24.64}",Isanti|Chisago,27059|27025,FALSE,FALSE,America/Chicago
55082,45.07446,-92.84006,Stillwater,MN,Minnesota,TRUE,,36414,177.5,27163,Washington,"{""27163"": 100}",Washington,27163,FALSE,FALSE,America/Chicago
55084,45.46029,-92.70747,Taylors Falls,MN,Minnesota,TRUE,,1942,30.2,27025,Chisago,"{""27025"": 100}",Chisago,27025,FALSE,FALSE,America/Chicago
55085,44.6731,-92.96432,Vermillion,MN,Minnesota,TRUE,,409,171.7,27037,Dakota,"{""27037"": 100}",Dakota,27037,FALSE,FALSE,America/Chicago
55087,44.23894,-93.40614,Warsaw,MN,Minnesota,TRUE,,425,148.5,27131,Rice,"{""27131"": 100}",Rice,27131,FALSE,FALSE,America/Chicago
55088,44.52945,-93.38479,Webster,MN,Minnesota,TRUE,,1727,18.1,27131,Rice,"{""27131"": 75.5, ""27139"": 24.5}",Rice|Scott,27131|27139,FALSE,FALSE,America/Chicago
55089,44.59296,-92.70223,Welch,MN,Minnesota,TRUE,,1760,10.1,27049,Goodhue,"{""27049"": 97.24, ""27037"": 2.76}",Goodhue|Dakota,27049|27037,FALSE,FALSE,America/Chicago
55090,45.05382,-92.9573,Willernie,MN,Minnesota,TRUE,,377,1279.8,27163,Washington,"{""27163"": 100}",Washington,27163,FALSE,FALSE,America/Chicago
55092,45.33647,-93.07214,Wyoming,MN,Minnesota,TRUE,,11103,127.5,27003,Anoka,"{""27003"": 67.16, ""27025"": 32.84}",Anoka|Chisago,27003|27025,FALSE,FALSE,America/Chicago
55101,44.95111,-93.08739,Saint Paul,MN,Minnesota,TRUE,,7937,3939.2,27123,Ramsey,"{""27123"": 100}",Ramsey,27123,FALSE,FALSE,America/Chicago
